date,symbol,action,shares,price,value,profit,pnl_pct
2024-08-28 00:00:00-04:00,MSFT,BUY,4,407.54034423828125,1630.161376953125,,
2024-08-29 00:00:00-04:00,AAPL,SELL,8,228.72549438476562,1829.803955078125,26.277587890625,1.4570115729221886
2024-08-30 00:00:00-04:00,TSLA,BUY,9,214.11000061035156,1926.990005493164,,
2024-09-05 00:00:00-04:00,MSFT,SELL,4,405.34686279296875,1621.387451171875,-8.77392578125,-0.5382243687829866
2024-09-05 00:00:00-04:00,TSLA,SELL,9,230.1699981689453,2071.529983520508,144.53997802734375,7.50081617524282
2024-09-09 00:00:00-04:00,MSFT,BUY,4,402.6967468261719,1610.7869873046875,,
2024-09-09 00:00:00-04:00,NVDA,BUY,18,106.43638610839844,1915.8549499511719,,
2024-09-09 00:00:00-04:00,SPY,BUY,3,539.6880493164062,1619.0641479492188,,
2024-09-10 00:00:00-04:00,MSFT,SELL,4,411.1135559082031,1644.4542236328125,33.667236328125,2.0901110198599273
2024-09-10 00:00:00-04:00,NVDA,SELL,18,108.06585693359375,1945.1854248046875,29.330474853515625,1.5309340017762385
2024-09-12 00:00:00-04:00,MSFT,BUY,4,423.81817626953125,1695.272705078125,,
2024-09-12 00:00:00-04:00,NVDA,BUY,16,119.11256408691406,1905.801025390625,,
2024-09-12 00:00:00-04:00,TSLA,BUY,8,229.80999755859375,1838.47998046875,,
2024-09-13 00:00:00-04:00,NVDA,SELL,16,119.07257080078125,1905.1611328125,-0.639892578125,-0.03357604333295201
2024-09-16 00:00:00-04:00,SPY,SELL,3,555.916015625,1667.748046875,48.68389892578125,3.0069160006690603
2024-09-17 00:00:00-04:00,SPY,BUY,3,556.1431274414062,1668.4293823242188,,
2024-09-19 00:00:00-04:00,TSLA,SELL,8,243.9199981689453,1951.3599853515625,112.8800048828125,6.139854993364242
2024-09-20 00:00:00-04:00,AAPL,BUY,8,227.1428680419922,1817.1429443359375,,
2024-09-23 00:00:00-04:00,AAPL,SELL,8,225.42088317871094,1803.3670654296875,-13.77587890625,-0.7581065072062507
2024-09-23 00:00:00-04:00,MSFT,SELL,4,430.2796630859375,1721.11865234375,25.845947265625,1.5245893588804
2024-09-23 00:00:00-04:00,SPY,SELL,3,564.3877563476562,1693.1632690429688,24.73388671875,1.4824653042428602
2024-09-26 00:00:00-04:00,NVDA,BUY,16,124.01143646240234,1984.1829833984375,,
2024-09-26 00:00:00-04:00,TSLA,BUY,7,254.22000122070312,1779.5400085449219,,
2024-09-27 00:00:00-04:00,AAPL,BUY,8,226.73477172851562,1813.878173828125,,
2024-09-27 00:00:00-04:00,NVDA,SELL,16,121.3720474243164,1941.9527587890625,-42.230224609375,-2.1283432507340923
2024-09-27 00:00:00-04:00,TSLA,SELL,7,260.4599914550781,1823.2199401855469,43.679931640625,2.4545630573566486
2024-09-30 00:00:00-04:00,NVDA,BUY,16,121.41203308105469,1942.592529296875,,
2024-10-01 00:00:00-04:00,NVDA,SELL,16,116.97306060791016,1871.5689697265625,-71.0235595703125,-3.656122346770252
2024-10-07 00:00:00-04:00,AAPL,SELL,8,220.66305541992188,1765.304443359375,-48.57373046875,-2.6778937620841914
2024-10-07 00:00:00-04:00,NVDA,BUY,15,127.69058990478516,1915.3588485717773,,
2024-10-08 00:00:00-04:00,MSFT,BUY,4,411.6197509765625,1646.47900390625,,
2024-10-08 00:00:00-04:00,NVDA,SELL,15,132.85939025878906,1992.890853881836,77.5320053100586,4.047910153644147
2024-10-09 00:00:00-04:00,MSFT,SELL,4,414.3492431640625,1657.39697265625,10.91796875,0.6631101109760441
2024-10-09 00:00:00-04:00,NVDA,BUY,15,132.6194305419922,1989.2914581298828,,
2024-10-10 00:00:00-04:00,NVDA,SELL,15,134.77894592285156,2021.6841888427734,32.392730712890625,1.6283551905130471
2024-10-17 00:00:00-04:00,TSLA,BUY,9,220.88999938964844,1988.009994506836,,
2024-10-18 00:00:00-04:00,TSLA,SELL,9,220.6999969482422,1986.2999725341797,-1.71002197265625,-0.08601676940162738
2024-10-21 00:00:00-04:00,NVDA,BUY,13,143.67691040039062,1867.7998352050781,,
2024-10-21 00:00:00-04:00,SPY,BUY,3,578.2183837890625,1734.6551513671875,,
2024-10-22 00:00:00-04:00,AAPL,BUY,8,234.76739501953125,1878.13916015625,,
2024-10-22 00:00:00-04:00,MSFT,BUY,4,424.3243713378906,1697.2974853515625,,
2024-10-22 00:00:00-04:00,NVDA,SELL,13,143.55694580078125,1866.2402954101562,-1.559539794921875,-0.08349608804578584
2024-10-23 00:00:00-04:00,AAPL,SELL,8,229.69100952148438,1837.528076171875,-40.611083984375,-2.162304308749752
2024-10-23 00:00:00-04:00,MSFT,SELL,4,421.4360656738281,1685.7442626953125,-11.55322265625,-0.6806834250306435
2024-10-30 00:00:00-04:00,AAPL,BUY,8,229.03407287597656,1832.2725830078125,,
2024-10-30 00:00:00-04:00,MSFT,BUY,4,429.3069763183594,1717.2279052734375,,
2024-10-31 00:00:00-04:00,MSFT,SELL,4,403.3220520019531,1613.2882080078125,-103.939697265625,-6.052760786523235
2024-10-31 00:00:00-04:00,TSLA,BUY,8,249.85000610351562,1998.800048828125,,
2024-10-31 00:00:00-04:00,SPY,SELL,3,563.367431640625,1690.102294921875,-44.5528564453125,-2.5683984744862793
2024-11-01 00:00:00-04:00,AAPL,SELL,8,221.87738037109375,1775.01904296875,-57.2535400390625,-3.1247283057129267
2024-11-04 00:00:00-05:00,TSLA,SELL,8,242.83999633789062,1942.719970703125,-56.080078125,-2.8056872501018373
2024-11-06 00:00:00-05:00,NVDA,BUY,13,145.5764617919922,1892.4940032958984,,
2024-11-07 00:00:00-05:00,AAPL,BUY,8,226.42620849609375,1811.40966796875,,
2024-11-08 00:00:00-05:00,AAPL,SELL,8,226.15716552734375,1809.25732421875,-2.15234375,-0.11882147854568763
2024-11-08 00:00:00-05:00,MSFT,BUY,4,419.3913879394531,1677.5655517578125,,
